Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,Year
66,325,112,4,3.5,3.5,8.92,0,0.55,2022
67,327,114,3,3,3,9.02,0,0.61,2022
68,316,107,2,3.5,3.5,8.64,1,0.57,2022
69,318,109,3,3.5,4,9.22,1,0.68,2022
70,328,115,4,4.5,4,9.16,1,0.78,2022
71,332,118,5,5,5,9.64,1,0.94,2022
72,336,112,5,5,5,9.76,1,0.96,2022
73,321,111,5,5,5,9.45,1,0.93,2022
74,314,108,4,4.5,4,9.04,1,0.84,2022
75,314,106,3,3,5,8.9,0,0.74,2022
76,329,114,2,2,4,8.56,1,0.72,2022
77,327,112,3,3,3,8.72,1,0.74,2022
78,301,99,2,3,2,8.22,0,0.64,2022
79,296,95,2,3,2,7.54,1,0.44,2022
80,294,93,1,1.5,2,7.36,0,0.46,2022
81,312,105,3,2,3,8.02,1,0.5,2022
82,340,120,4,5,5,9.5,1,0.96,2022
83,320,110,5,5,4.5,9.22,1,0.92,2022
84,322,115,5,4,4.5,9.36,1,0.92,2022
85,340,115,5,4.5,4.5,9.45,1,0.94,2022
86,319,103,4,4.5,3.5,8.66,0,0.76,2022
87,315,106,3,4.5,3.5,8.42,0,0.72,2022
88,317,107,2,3.5,3,8.28,0,0.66,2022
89,314,108,3,4.5,3.5,8.14,0,0.64,2022
90,316,109,4,4.5,3.5,8.76,1,0.74,2022
91,318,106,2,4,4,7.92,1,0.64,2022
92,299,97,3,5,3.5,7.66,0,0.38,2022
93,298,98,2,4,3,8.03,0,0.34,2022
94,301,97,2,3,3,7.88,1,0.44,2022
95,303,99,3,2,2.5,7.66,0,0.36,2022
96,304,100,4,1.5,2.5,7.84,0,0.42,2022
97,306,100,2,3,3,8,0,0.48,2022
98,331,120,3,4,4,8.96,1,0.86,2022
99,332,119,4,5,4.5,9.24,1,0.9,2022
100,323,113,3,4,4,8.88,1,0.79,2022
101,322,107,3,3.5,3.5,8.46,1,0.71,2022
102,312,105,2,2.5,3,8.12,0,0.64,2022
103,314,106,2,4,3.5,8.25,0,0.62,2022
104,317,104,2,4.5,4,8.47,0,0.57,2022
105,326,112,3,3.5,3,9.05,1,0.74,2022
106,316,110,3,4,4.5,8.78,1,0.69,2022
107,329,111,4,4.5,4.5,9.18,1,0.87,2022
108,338,117,4,3.5,4.5,9.46,1,0.91,2022
109,331,116,5,5,5,9.38,1,0.93,2022
110,304,103,5,5,4,8.64,0,0.68,2022
111,305,108,5,3,3,8.48,0,0.61,2022
112,321,109,4,4,4,8.68,1,0.69,2022
113,301,107,3,3.5,3.5,8.34,1,0.62,2022
114,320,110,2,4,3.5,8.56,0,0.72,2022
115,311,105,3,3.5,3,8.45,1,0.59,2022
116,310,106,4,4.5,4.5,9.04,1,0.66,2022
117,299,102,3,4,3.5,8.62,0,0.56,2022
118,290,104,4,2,2.5,7.46,0,0.45,2022
119,296,99,2,3,3.5,7.28,0,0.47,2022
120,327,104,5,3,3.5,8.84,1,0.71,2022
121,335,117,5,5,5,9.56,1,0.94,2022
122,334,119,5,4.5,4.5,9.48,1,0.94,2022
123,310,106,4,1.5,2.5,8.36,0,0.57,2022
124,308,108,3,3.5,3.5,8.22,0,0.61,2022
125,301,106,4,2.5,3,8.47,0,0.57,2022
126,300,100,3,2,3,8.66,1,0.64,2022
127,323,113,3,4,3,9.32,1,0.85,2022
128,319,112,3,2.5,2,8.71,1,0.78,2022
129,326,112,3,3.5,3,9.1,1,0.84,2022
130,333,118,5,5,5,9.35,1,0.92,2022
131,339,114,5,4,4.5,9.76,1,0.96,2022
132,303,105,5,5,4.5,8.65,0,0.77,2022
133,309,105,5,3.5,3.5,8.56,0,0.71,2022
134,323,112,5,4,4.5,8.78,0,0.79,2022
135,333,113,5,4,4,9.28,1,0.89,2022
136,314,109,4,3.5,4,8.77,1,0.82,2022
137,312,103,3,5,4,8.45,0,0.76,2022
138,316,100,2,1.5,3,8.16,1,0.71,2022
139,326,116,2,4.5,3,9.08,1,0.8,2022
140,318,109,1,3.5,3.5,9.12,0,0.78,2022
141,329,110,2,4,3,9.15,1,0.84,2022
142,332,118,2,4.5,3.5,9.36,1,0.9,2022
143,331,115,5,4,3.5,9.44,1,0.92,2022
144,340,120,4,4.5,4,9.92,1,0.97,2022
145,325,112,2,3,3.5,8.96,1,0.8,2022
146,320,113,2,2,2.5,8.64,1,0.81,2022
147,315,105,3,2,2.5,8.48,0,0.75,2022
148,326,114,3,3,3,9.11,1,0.83,2022
149,339,116,4,4,3.5,9.8,1,0.96,2022
150,311,106,2,3.5,3,8.26,1,0.79,2022
151,334,114,4,4,4,9.43,1,0.93,2022
152,332,116,5,5,5,9.28,1,0.94,2022
153,321,112,5,5,5,9.06,1,0.86,2022
154,324,105,3,3,4,8.75,0,0.79,2022
155,326,108,3,3,3.5,8.89,0,0.8,2022
156,312,109,3,3,3,8.69,0,0.77,2022
157,315,105,3,2,2.5,8.34,0,0.7,2022
158,309,104,2,2,2.5,8.26,0,0.65,2022
159,306,106,2,2,2.5,8.14,0,0.61,2022
160,297,100,1,1.5,2,7.9,0,0.52,2022
161,315,103,1,1.5,2,7.86,0,0.57,2022
162,298,99,1,1.5,3,7.46,0,0.53,2022
163,318,109,3,3,3,8.5,0,0.67,2022
164,317,105,3,3.5,3,8.56,0,0.68,2022
165,329,111,4,4.5,4,9.01,1,0.81,2022
166,322,110,5,4.5,4,8.97,0,0.78,2022
167,302,102,3,3.5,5,8.33,0,0.65,2022
168,313,102,3,2,3,8.27,0,0.64,2022
169,293,97,2,2,4,7.8,1,0.64,2022
170,311,99,2,2.5,3,7.98,0,0.65,2022
171,312,101,2,2.5,3.5,8.04,1,0.68,2022
172,334,117,5,4,4.5,9.07,1,0.89,2022
173,322,110,4,4,5,9.13,1,0.86,2022
174,323,113,4,4,4.5,9.23,1,0.89,2022
175,321,111,4,4,4,8.97,1,0.87,2022
176,320,111,4,4.5,3.5,8.87,1,0.85,2022
177,329,119,4,4.5,4.5,9.16,1,0.9,2022
178,319,110,3,3.5,3.5,9.04,0,0.82,2022
179,309,108,3,2.5,3,8.12,0,0.72,2022
180,307,102,3,3,3,8.27,0,0.73,2022
181,300,104,3,3.5,3,8.16,0,0.71,2022
182,305,107,2,2.5,2.5,8.42,0,0.71,2022
183,299,100,2,3,3.5,7.88,0,0.68,2022
184,314,110,3,4,4,8.8,0,0.75,2022
185,316,106,2,2.5,4,8.32,0,0.72,2022
186,327,113,4,4.5,4.5,9.11,1,0.89,2022
187,317,107,3,3.5,3,8.68,1,0.84,2022
188,335,118,5,4.5,3.5,9.44,1,0.93,2022
189,331,115,5,4.5,3.5,9.36,1,0.93,2022
190,324,112,5,5,5,9.08,1,0.88,2022
191,324,111,5,4.5,4,9.16,1,0.9,2022
192,323,110,5,4,5,8.98,1,0.87,2022
193,322,114,5,4.5,4,8.94,1,0.86,2022
194,336,118,5,4.5,5,9.53,1,0.94,2022
195,316,109,3,3.5,3,8.76,0,0.77,2022
196,307,107,2,3,3.5,8.52,1,0.78,2022
197,306,105,2,3,2.5,8.26,0,0.73,2022
198,310,106,2,3.5,2.5,8.33,0,0.73,2022
199,311,104,3,4.5,4.5,8.43,0,0.7,2022
200,313,107,3,4,4.5,8.69,0,0.72,2022
201,317,103,3,2.5,3,8.54,1,0.73,2023
202,315,110,2,3.5,3,8.46,1,0.72,2023
203,340,120,5,4.5,4.5,9.91,1,0.97,2023
204,334,120,5,4,5,9.87,1,0.97,2023
205,298,105,3,3.5,4,8.54,0,0.69,2023
206,295,99,2,2.5,3,7.65,0,0.57,2023
207,315,99,2,3.5,3,7.89,0,0.63,2023
208,310,102,3,3.5,4,8.02,1,0.66,2023
209,305,106,2,3,3,8.16,0,0.64,2023
210,301,104,3,3.5,4,8.12,1,0.68,2023
211,325,108,4,4.5,4,9.06,1,0.79,2023
212,328,110,4,5,4,9.14,1,0.82,2023
213,338,120,4,5,5,9.66,1,0.95,2023
214,333,119,5,5,4.5,9.78,1,0.96,2023
215,331,117,4,4.5,5,9.42,1,0.94,2023
216,330,116,5,5,4.5,9.36,1,0.93,2023
217,322,112,4,4.5,4.5,9.26,1,0.91,2023
218,321,109,4,4,4,9.13,1,0.85,2023
219,324,110,4,3,3.5,8.97,1,0.84,2023
220,312,104,3,3.5,3.5,8.42,0,0.74,2023
221,313,103,3,4,4,8.75,0,0.76,2023
222,316,110,3,3.5,4,8.56,0,0.75,2023
223,324,113,4,4.5,4,8.79,0,0.76,2023
224,308,109,2,3,4,8.45,0,0.71,2023
225,305,105,2,3,2,8.23,0,0.67,2023
226,296,99,2,2.5,2.5,8.03,0,0.61,2023
227,306,110,2,3.5,4,8.45,0,0.63,2023
228,312,110,2,3.5,3,8.53,0,0.64,2023
229,318,112,3,4,3.5,8.67,0,0.71,2023
230,324,111,4,3,3,9.01,1,0.82,2023
231,313,104,3,4,4.5,8.65,0,0.73,2023
232,319,106,3,3.5,2.5,8.33,1,0.74,2023
233,312,107,2,2.5,3.5,8.27,0,0.69,2023
234,304,100,2,2.5,3.5,8.07,0,0.64,2023
235,330,113,5,5,4,9.31,1,0.91,2023
236,326,111,5,4.5,4,9.23,1,0.88,2023
237,325,112,4,4,4.5,9.17,1,0.85,2023
238,329,114,5,4.5,5,9.19,1,0.86,2023
239,310,104,3,2,3.5,8.37,0,0.7,2023
240,299,100,1,1.5,2,7.89,0,0.59,2023
241,296,101,1,2.5,3,7.68,0,0.6,2023
242,317,103,2,2.5,2,8.15,0,0.65,2023
243,324,115,3,3.5,3,8.76,1,0.7,2023
244,325,114,3,3.5,3,9.04,1,0.76,2023
245,314,107,2,2.5,4,8.56,0,0.63,2023
246,328,110,4,4,2.5,9.02,1,0.81,2023
247,316,105,3,3,3.5,8.73,0,0.72,2023
248,311,104,2,2.5,3.5,8.48,0,0.71,2023
249,324,110,3,3.5,4,8.87,1,0.8,2023
250,321,111,3,3.5,4,8.83,1,0.77,2023
251,320,104,3,3,2.5,8.57,1,0.74,2023
252,316,99,2,2.5,3,9,0,0.7,2023
253,318,100,2,2.5,3.5,8.54,1,0.71,2023
254,335,115,4,4.5,4.5,9.68,1,0.93,2023
255,321,114,4,4,5,9.12,0,0.85,2023
256,307,110,4,4,4.5,8.37,0,0.79,2023
257,309,99,3,4,4,8.56,0,0.76,2023
258,324,100,3,4,5,8.64,1,0.78,2023
259,326,102,4,5,5,8.76,1,0.77,2023
260,331,119,4,5,4.5,9.34,1,0.9,2023
261,327,108,5,5,3.5,9.13,1,0.87,2023
262,312,104,3,3.5,4,8.09,0,0.71,2023
263,308,103,2,2.5,4,8.36,1,0.7,2023
264,324,111,3,2.5,1.5,8.79,1,0.7,2023
265,325,110,2,3,2.5,8.76,1,0.75,2023
266,313,102,3,2.5,2.5,8.68,0,0.71,2023
267,312,105,2,2,2.5,8.45,0,0.72,2023
268,314,107,3,3,3.5,8.17,1,0.73,2023
269,327,113,4,4.5,5,9.14,0,0.83,2023
270,308,108,4,4.5,5,8.34,0,0.77,2023
271,306,105,2,2.5,3,8.22,1,0.72,2023
272,299,96,2,1.5,2,7.86,0,0.54,2023
273,294,95,1,1.5,1.5,7.64,0,0.49,2023
274,312,99,1,1,1.5,8.01,1,0.52,2023
275,315,100,1,2,2.5,7.95,0,0.58,2023
276,322,110,3,3.5,3,8.96,1,0.78,2023
277,329,113,5,5,4.5,9.45,1,0.89,2023
278,320,101,2,2.5,3,8.62,0,0.7,2023
279,308,103,2,3,3.5,8.49,0,0.66,2023
280,304,102,2,3,4,8.73,0,0.67,2023
281,311,102,3,4.5,4,8.64,1,0.68,2023
282,317,110,3,4,4.5,9.11,1,0.8,2023
283,312,106,3,4,3.5,8.79,1,0.81,2023
284,321,111,3,2.5,3,8.9,1,0.8,2023
285,340,112,4,5,4.5,9.66,1,0.94,2023
286,331,116,5,4,4,9.26,1,0.93,2023
287,336,118,5,4.5,4,9.19,1,0.92,2023
288,324,114,5,5,4.5,9.08,1,0.89,2023
289,314,104,4,5,5,9.02,0,0.82,2023
290,313,109,3,4,3.5,9,0,0.79,2023
291,307,105,2,2.5,3,7.65,0,0.58,2023
292,300,102,2,1.5,2,7.87,0,0.56,2023
293,302,99,2,1,2,7.97,0,0.56,2023
294,312,98,1,3.5,3,8.18,1,0.64,2023
295,316,101,2,2.5,2,8.32,1,0.61,2023
296,317,100,2,3,2.5,8.57,0,0.68,2023
297,310,107,3,3.5,3.5,8.67,0,0.76,2023
298,320,120,3,4,4.5,9.11,0,0.86,2023
299,330,114,3,4.5,4.5,9.24,1,0.9,2023
300,305,112,3,3,3.5,8.65,0,0.71,2023
301,309,106,2,2.5,2.5,8,0,0.62,2023
302,319,108,2,2.5,3,8.76,0,0.66,2023
303,322,105,2,3,3,8.45,1,0.65,2023
304,323,107,3,3.5,3.5,8.55,1,0.73,2023
305,313,106,2,2.5,2,8.43,0,0.62,2023
306,321,109,3,3.5,3.5,8.8,1,0.74,2023
307,323,110,3,4,3.5,9.1,1,0.79,2023
308,325,112,4,4,4,9,1,0.8,2023
309,312,108,3,3.5,3,8.53,0,0.69,2023
310,308,110,4,3.5,3,8.6,0,0.7,2023
311,320,104,3,3,3.5,8.74,1,0.76,2023
312,328,108,4,4.5,4,9.18,1,0.84,2023
313,311,107,4,4.5,4.5,9,1,0.78,2023
314,301,100,3,3.5,3,8.04,0,0.67,2023
315,305,105,2,3,4,8.13,0,0.66,2023
316,308,104,2,2.5,3,8.07,0,0.65,2023
317,298,101,2,1.5,2,7.86,0,0.54,2023
318,300,99,1,1,2.5,8.01,0,0.58,2023
319,324,111,3,2.5,2,8.8,1,0.79,2023
320,327,113,4,3.5,3,8.69,1,0.8,2023
321,317,106,3,4,3.5,8.5,1,0.75,2023
322,323,104,3,4,4,8.44,1,0.73,2023
323,314,107,2,2.5,4,8.27,0,0.72,2023
324,305,102,2,2,2.5,8.18,0,0.62,2023
325,315,104,3,3,2.5,8.33,0,0.67,2023
326,326,116,3,3.5,4,9.14,1,0.81,2023
327,299,100,3,2,2,8.02,0,0.63,2023
328,295,101,2,2.5,2,7.86,0,0.69,2023
329,324,112,4,4,3.5,8.77,1,0.8,2023
330,297,96,2,2.5,1.5,7.89,0,0.43,2023
331,327,113,3,3.5,3,8.66,1,0.8,2023
332,311,105,2,3,2,8.12,1,0.73,2023
333,308,106,3,3.5,2.5,8.21,1,0.75,2023
334,319,108,3,3,3.5,8.54,1,0.71,2023
335,312,107,4,4.5,4,8.65,1,0.73,2023
336,325,111,4,4,4.5,9.11,1,0.83,2023
337,319,110,3,3,2.5,8.79,0,0.72,2023
338,332,118,5,5,5,9.47,1,0.94,2023
339,323,108,5,4,4,8.74,1,0.81,2023
340,324,107,5,3.5,4,8.66,1,0.81,2023
341,312,107,3,3,3,8.46,1,0.75,2023
342,326,110,3,3.5,3.5,8.76,1,0.79,2023
343,308,106,3,3,3,8.24,0,0.58,2023
344,305,103,2,2.5,3.5,8.13,0,0.59,2023
345,295,96,2,1.5,2,7.34,0,0.47,2023
346,316,98,1,1.5,2,7.43,0,0.49,2023
347,304,97,2,1.5,2,7.64,0,0.47,2023
348,299,94,1,1,1,7.34,0,0.42,2023
349,302,99,1,2,2,7.25,0,0.57,2023
350,313,101,3,2.5,3,8.04,0,0.62,2023
351,318,107,3,3,3.5,8.27,1,0.74,2023
352,325,110,4,3.5,4,8.67,1,0.73,2023
353,303,100,2,3,3.5,8.06,1,0.64,2023
354,300,102,3,3.5,2.5,8.17,0,0.63,2023
355,297,98,2,2.5,3,7.67,0,0.59,2023
356,317,106,2,2,3.5,8.12,0,0.73,2023
357,327,109,3,3.5,4,8.77,1,0.79,2023
358,301,104,2,3.5,3.5,7.89,1,0.68,2023
359,314,105,2,2.5,2,7.64,0,0.7,2023
360,321,107,2,2,1.5,8.44,0,0.81,2023
361,322,110,3,4,5,8.64,1,0.85,2023
362,334,116,4,4,3.5,9.54,1,0.93,2023
363,338,115,5,4.5,5,9.23,1,0.91,2023
364,306,103,2,2.5,3,8.36,0,0.69,2023
365,313,102,3,3.5,4,8.9,1,0.77,2023
366,330,114,4,4.5,3,9.17,1,0.86,2023
367,320,104,3,3.5,4.5,8.34,1,0.74,2023
368,311,98,1,1,2.5,7.46,0,0.57,2023
369,298,92,1,2,2,7.88,0,0.51,2023
370,301,98,1,2,3,8.03,1,0.67,2023
371,310,103,2,2.5,2.5,8.24,0,0.72,2023
372,324,110,3,3.5,3,9.22,1,0.89,2023
373,336,119,4,4.5,4,9.62,1,0.95,2023
374,321,109,3,3,3,8.54,1,0.79,2023
375,315,105,2,2,2.5,7.65,0,0.39,2023
376,304,101,2,2,2.5,7.66,0,0.38,2023
377,297,96,2,2.5,2,7.43,0,0.34,2023
378,290,100,1,1.5,2,7.56,0,0.47,2023
379,303,98,1,2,2.5,7.65,0,0.56,2023
380,311,99,1,2.5,3,8.43,1,0.71,2023
381,322,104,3,3.5,4,8.84,1,0.78,2023
382,319,105,3,3,3.5,8.67,1,0.73,2023
383,324,110,4,4.5,4,9.15,1,0.82,2023
384,300,100,3,3,3.5,8.26,0,0.62,2023
385,340,113,4,5,5,9.74,1,0.96,2023
386,335,117,5,5,5,9.82,1,0.96,2023
387,302,101,2,2.5,3.5,7.96,0,0.46,2023
388,307,105,2,2,3.5,8.1,0,0.53,2023
389,296,97,2,1.5,2,7.8,0,0.49,2023
390,320,108,3,3.5,4,8.44,1,0.76,2023
391,314,102,2,2,2.5,8.24,0,0.64,2023
392,318,106,3,2,3,8.65,0,0.71,2023
393,326,112,4,4,3.5,9.12,1,0.84,2023
394,317,104,2,3,3,8.76,0,0.77,2023
395,329,111,4,4.5,4,9.23,1,0.89,2023
396,324,110,3,3.5,3.5,9.04,1,0.82,2023
397,325,107,3,3,3.5,9.11,1,0.84,2023
398,330,116,4,5,4.5,9.45,1,0.91,2023
399,312,103,3,3.5,4,8.78,0,0.67,2023
400,333,117,4,5,4,9.66,1,0.95,2023
401,321,117,1,3,2.5,9,1,0.75,2024
402,329,105,3,3.5,4.6,7.41,0,0.71,2024
403,327,120,3,4.5,3.6,8.72,0,0.85,2024
404,296,114,2,4,4.1,9.18,0,0.68,2024
405,332,110,1,3,4,8.62,1,0.83,2024
406,317,118,1,3,3.5,8.16,0,0.72,2024
407,306,106,1,3.9,4,8.86,1,0.72,2024
408,316,112,3,4.9,4.1,7.69,0,0.88,2024
409,339,100,1,4.4,3.1,8.54,0,0.72,2024
410,333,119,5,3.4,4.6,9.33,1,0.96,2024
411,332,110,2,5,4.5,9.41,1,0.82,2024
412,313,114,4,3.6,5,8.06,0,0.88,2024
413,329,105,4,4.5,3,9.28,0,0.64,2024
414,309,117,3,2.4,2.5,9.57,1,0.69,2024
415,324,94,5,4,3.5,8.27,0,0.76,2024
416,322,95,1,3.5,3,8.17,0,0.79,2024
417,302,106,2,2.6,2.1,8.74,1,0.56,2024
418,303,113,2,3.4,3,8.04,0,0.5,2024
419,293,115,1,4.5,2.9,8.22,1,0.63,2024
420,297,104,2,2.1,4.5,9.23,1,0.44,2024
421,312,110,2,4.5,4,7.89,1,0.65,2024
422,314,108,4,3.5,2.5,8.77,0,0.77,2024
423,298,119,2,2.5,2,9.11,0,0.68,2024
424,311,110,5,3.5,4,8.47,0,0.76,2024
425,320,104,4,3.5,3.5,8.89,0,0.62,2024
426,301,120,5,3,2.9,8.86,1,0.42,2024
427,307,95,1,4,4,9.5,1,0.47,2024
428,308,120,5,2.9,4,9.01,1,0.74,2024
429,315,96,4,2.5,1.5,8.68,1,0.76,2024
430,308,100,5,5,2.9,9.06,1,0.95,2024
431,327,115,2,4,3,8.42,0,0.76,2024
432,306,113,5,3,4.1,9.27,0,0.81,2024
433,312,120,3,3,4,7.71,0,0.72,2024
434,309,113,1,1.9,1.9,8.05,1,0.46,2024
435,299,110,3,3.5,4,8.32,0,0.96,2024
436,324,102,1,2.4,4.9,8.84,1,0.77,2024
437,302,92,5,4,3,9.02,0,0.67,2024
438,305,95,2,2.4,3.5,8.15,1,0.83,2024
439,330,100,2,5,3.4,8.65,1,0.74,2024
440,338,93,3,4.4,4,8.68,0,0.83,2024
441,324,106,3,3,4,9.44,0,0.72,2024
442,336,114,1,4.5,4.5,8.21,0,0.69,2024
443,333,119,5,3.6,4.5,9.63,0,0.74,2024
444,314,106,5,4.5,5,8.33,0,0.62,2024
445,329,117,4,1.5,2,8.65,1,0.57,2024
446,306,120,4,3.5,4,8.66,0,0.73,2024
447,313,116,3,3.4,4,7.62,0,0.89,2024
448,317,105,3,5,3,7.48,1,0.72,2024
449,338,101,3,4.6,3.4,8.08,1,0.69,2024
450,333,120,1,3.5,3,8.88,0,0.63,2024
451,314,99,1,4,2,9.21,1,0.89,2024
452,323,103,2,3.5,3.4,7.67,0,0.58,2024
453,300,94,3,3,3,8.54,0,0.82,2024
454,331,115,1,4.4,3,7.76,0,0.68,2024
455,318,110,1,3.4,3.1,7.92,0,0.78,2024
456,317,94,5,4.5,2.9,9.37,0,0.65,2024
457,329,98,2,3,2.9,8.49,1,0.73,2024
458,322,108,3,2.1,5,8.06,0,0.62,2024
459,293,107,3,5,3.1,8.77,0,0.75,2024
460,304,115,4,4.9,3,9.04,0,0.57,2024
461,299,99,4,4.9,3,7.4,0,0.52,2024
462,327,118,2,4.4,3,8.42,0,0.64,2024
463,291,104,5,5,2.4,8.3,1,0.97,2024
464,300,115,2,5,3.4,8.75,1,0.93,2024
465,320,98,5,4.5,3,7.35,1,0.93,2024
466,325,93,3,3.1,5.1,8.1,0,0.87,2024
467,315,93,1,5.1,5,9.5,1,0.75,2024
468,333,102,4,1.5,2,8.45,1,0.73,2024
469,336,119,1,3.4,3.6,8.46,1,0.67,2024
470,296,93,4,4.5,4.6,9.44,0,0.48,2024
471,338,102,1,3.5,5,8.06,1,0.58,2024
472,321,95,2,4,3.5,7.91,0,0.95,2024
473,322,119,4,4.5,4.1,8.45,1,0.75,2024
474,294,111,5,4.9,3.9,9.15,0,0.65,2024
475,321,114,3,2.6,3.5,7.7,1,0.96,2024
476,327,112,1,2.5,3.5,8.98,0,0.53,2024
477,319,111,2,3,2.5,8.95,1,0.38,2024
478,294,114,5,4.9,3,8.18,0,0.58,2024
479,316,92,4,4,2.5,8.73,1,0.71,2024
480,337,117,1,4.1,2,8.26,0,0.65,2024
481,326,113,2,5,2.5,7.18,1,0.88,2024
482,297,113,2,1.5,4.5,8.11,1,0.69,2024
483,338,103,1,5,3,9.17,0,0.47,2024
484,338,115,5,3.5,3,8.56,0,0.72,2024
485,298,103,4,1.6,2,9.07,1,0.64,2024
486,330,93,1,3,2,9.44,0,0.91,2024
487,310,118,4,3.9,3,7.6,0,0.55,2024
488,320,98,3,5,4,7.96,1,0.72,2024
489,312,94,1,4.5,2.6,8.79,0,0.78,2024
490,329,110,3,4,3,8.28,0,0.56,2024
491,340,98,1,4.9,3.5,9.29,0,0.67,2024
492,330,116,2,4,3,8.15,0,0.69,2024
493,337,104,5,3.5,2.5,9.65,0,0.79,2024
494,338,92,4,2.5,3,9.84,0,0.54,2024
495,294,119,1,1.9,4,7.55,0,0.92,2024
496,302,106,5,5,3,8.04,0,0.7,2024
497,326,99,3,4,4,9.32,0,0.68,2024
498,320,111,5,2,3,8.99,0,0.72,2024
499,292,107,4,4,3.5,7.51,0,0.75,2024
500,294,92,2,3.5,3.5,7.35,1,0.9,2024
501,316,114,3,3,2.5,8.23,0,0.93,2024
502,321,103,3,4,2.9,9.2,1,0.65,2024
503,298,112,4,2.5,2.9,8.79,1,0.43,2024
504,298,117,2,2.4,3.9,9.29,1,0.9,2024
505,296,109,2,3,2.9,8.02,1,0.56,2024
506,318,111,2,4,3,8.54,0,0.76,2024
507,290,99,2,3.9,1.4,9.79,1,0.45,2024
508,319,98,1,2.5,3,8.96,0,0.54,2024
509,314,104,1,3,4.5,8.58,1,0.61,2024
510,313,116,5,3.4,4.5,9.16,0,0.87,2024
511,324,107,1,1.5,2.1,7.81,0,0.66,2024
512,316,102,5,3,2.5,8.14,0,0.62,2024
513,327,114,1,5,3,8.76,0,0.79,2024
514,328,116,4,2.5,3.5,9.03,0,0.54,2024
515,336,118,2,2.4,3,8.89,1,0.92,2024
516,330,100,3,2.4,4,8.76,0,0.81,2024
517,316,112,2,5,5,9.49,1,0.79,2024
