Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,Year
139,299,111,2,4.5,3.0,7.419664883919417,1,0.8,2022
140,292,100,1,3.5,3.5,7.477515254905626,0,0.78,2022
141,303,101,2,4.0,3.0,7.523544879286968,1,0.84,2022
142,310,115,2,4.5,3.5,7.917032095832215,1,0.9,2022
143,307,109,5,4.0,3.5,8.10419773017556,1,0.92,2022
144,340,120,4,4.5,4.0,9.803702096583713,1,0.97,2022
145,298,104,2,3.0,3.5,7.268395443467467,1,0.8,2022
146,293,105,2,2.0,2.5,6.997355439939107,1,0.81,2022
147,291,96,3,2.0,2.5,6.915777934021025,0,0.75,2022
148,299,107,3,3.0,3.0,7.462681612169447,1,0.83,2022
149,335,111,4,4.0,3.5,9.271269157302081,1,0.96,2022
150,290,97,2,3.5,3.0,6.843537970278312,1,0.79,2022
151,315,107,4,4.0,4.0,8.079552758063242,1,0.93,2022
152,310,111,5,5.0,5.0,7.751456761146375,1,0.94,2022
153,294,104,5,5.0,5.0,7.392192713011616,1,0.86,2022
154,296,96,3,3.0,4.0,7.072028225929056,0,0.79,2022
155,299,99,3,3.0,3.5,7.1941052772708165,0,0.8,2022
156,291,100,3,3.0,3.0,7.0292061775535535,0,0.77,2022
157,291,96,3,2.0,2.5,6.865360554004358,0,0.7,2022
158,290,95,2,2.0,2.5,6.843537970278312,0,0.65,2022
159,290,97,2,2.0,2.5,6.818453224670745,0,0.61,2022
160,290,93,1,1.5,2.0,6.788609122022462,0,0.52,2022
161,291,95,1,1.5,2.0,6.785558054167242,0,0.57,2022
162,290,93,1,1.5,3.0,6.771604256424479,0,0.53,2022
163,292,100,3,3.0,3.0,6.924448588083471,0,0.67,2022
164,292,96,3,3.5,3.0,6.95295987936389,0,0.68,2022
165,303,102,4,4.5,4.0,7.327554350205269,1,0.81,2022
166,295,101,5,4.5,4.0,7.279806141384241,0,0.78,2022
167,290,94,3,3.5,5.0,6.862380480248276,0,0.65,2022
168,291,94,3,2.0,3.0,6.846023141330265,0,0.64,2022
169,290,92,2,2.0,4.0,6.781742953139279,1,0.64,2022
170,290,93,2,2.5,3.0,6.796141600674998,0,0.65,2022
171,291,94,2,2.5,3.5,6.803248120973384,1,0.68,2022
172,315,113,5,4.0,4.5,7.405810290710145,1,0.89,2022
173,295,101,4,4.0,5.0,7.492601539206611,1,0.86,2022
174,295,105,4,4.0,4.5,7.658078141894146,1,0.89,2022
175,294,102,4,4.0,4.0,7.279806141384241,1,0.87,2022
176,293,102,4,4.5,3.5,7.174594046801474,1,0.85,2022
177,303,118,4,4.5,4.5,7.539408425689152,1,0.9,2022
178,293,101,3,3.5,3.5,7.365656445385165,0,0.82,2022
179,290,99,3,2.5,3.0,6.815038952342137,0,0.72,2022
180,290,94,3,3.0,3.0,6.846023141330265,0,0.73,2022
181,290,95,3,3.5,3.0,6.8220711484505445,0,0.71,2022
182,290,98,2,2.5,2.5,6.892071903128496,0,0.71,2022
183,290,93,2,3.0,3.5,6.787029069517822,0,0.68,2022
184,291,101,3,4.0,4.0,7.111871821525246,0,0.75,2022
185,292,97,2,2.5,4.0,6.859475264902371,0,0.72,2022
186,300,105,4,4.5,4.5,7.462681612169447,1,0.89,2022
187,292,98,3,3.5,3.0,7.022567177590025,1,0.84,2022
188,319,115,5,4.5,3.5,8.10419773017556,1,0.93,2022
189,307,109,5,4.5,3.5,7.917032095832215,1,0.93,2022
190,296,104,5,5.0,5.0,7.419664883919417,1,0.88,2022
191,296,102,5,4.5,4.0,7.539408425689152,1,0.9,2022
192,295,101,5,4.0,5.0,7.291424552914157,1,0.87,2022
193,295,107,5,4.5,4.0,7.246186051799896,1,0.86,2022
194,322,115,5,4.5,5.0,8.343111004327376,1,0.94,2022
195,292,100,3,3.5,3.0,7.079683873862647,0,0.77,2022
196,290,98,2,3.0,3.5,6.933526323195756,1,0.78,2022
197,290,96,2,3.0,2.5,6.843537970278312,0,0.73,2022
198,290,97,2,3.5,2.5,6.862380480248276,0,0.73,2022
199,290,95,3,4.5,4.5,6.895792407785914,0,0.7,2022
200,291,98,3,4.0,4.5,7.0292061775535535,0,0.72,2022
201,292,95,3,2.5,3.0,6.943025269674121,1,0.73,2023
202,291,101,2,3.5,3.0,6.907500548660829,1,0.72,2023
203,340,120,5,4.5,4.5,9.75614956716385,1,0.97,2023
204,315,120,5,4.0,5.0,9.571855823403402,1,0.97,2023
205,290,96,3,3.5,4.0,6.943025269674121,0,0.69,2023
206,290,93,2,2.5,3.0,6.775372057404762,0,0.57,2023
207,291,93,2,3.5,3.0,6.787805100021702,0,0.63,2023
208,290,94,3,3.5,4.0,6.8007265637688175,1,0.66,2023
209,290,97,2,3.0,3.0,6.8220711484505445,0,0.64,2023
210,290,95,3,3.5,4.0,6.815038952342137,1,0.68,2023
211,298,99,4,4.5,4.0,7.392192713011616,1,0.79,2023
212,302,101,4,5.0,4.0,7.5079436700563305,1,0.82,2023
213,330,120,4,5.0,5.0,8.74732712363483,1,0.95,2023
214,312,118,5,5.0,4.5,9.19030246180112,1,0.96,2023
215,307,113,4,4.5,5.0,8.055272761360387,1,0.94,2023
216,305,111,5,5.0,4.5,7.917032095832215,1,0.93,2023
217,295,104,4,4.5,4.5,7.713208863925007,1,0.91,2023
218,294,100,4,4.0,4.0,7.492601539206611,1,0.85,2023
219,296,101,4,3.0,3.5,7.279806141384241,1,0.84,2023
220,291,95,3,3.5,3.5,6.892071903128496,0,0.74,2023
221,291,95,3,4.0,4.0,7.072028225929056,0,0.76,2023
222,292,101,3,3.5,4.0,6.95295987936389,0,0.75,2023
223,296,105,4,4.5,4.0,7.103585361473753,0,0.76,2023
224,290,100,2,3.0,4.0,6.903505101453517,0,0.71,2023
225,290,96,2,3.0,2.0,6.83646922570512,0,0.67,2023
226,290,93,2,2.5,2.5,6.801967488205503,0,0.61,2023
227,290,101,2,3.5,4.0,6.903505101453517,0,0.63,2023
228,291,101,2,3.5,3.0,6.938222249351399,0,0.64,2023
229,292,104,3,4.0,3.5,7.0160647040971655,0,0.71,2023
230,296,102,4,3.0,3.0,7.327554350205269,1,0.82,2023
231,291,95,3,4.0,4.5,7.003460913804386,0,0.73,2023
232,293,97,3,3.5,2.5,6.862380480248276,1,0.74,2023
233,291,98,2,2.5,3.5,6.846023141330265,0,0.69,2023
234,290,93,2,2.5,3.5,6.807337771995126,0,0.64,2023
235,305,105,5,5.0,4.0,7.81114183364693,1,0.91,2023
236,299,102,5,4.5,4.0,7.658078141894146,1,0.88,2023
237,298,104,4,4.0,4.5,7.5555375951221455,1,0.85,2023
238,303,107,5,4.5,5.0,7.588606082521803,1,0.86,2023
239,290,95,3,2.0,3.5,6.874764352071046,0,0.7,2023
240,290,93,1,1.5,2.0,6.787805100021702,0,0.59,2023
241,290,94,1,2.5,3.0,6.776345696334855,0,0.6,2023
242,292,95,2,2.5,2.0,6.820236176557454,0,0.65,2023
243,296,109,3,3.5,3.0,7.079683873862647,1,0.7,2023
244,298,107,3,3.5,3.0,7.365656445385165,1,0.76,2023
245,291,98,2,2.5,4.0,6.95295987936389,0,0.63,2023
246,302,101,4,4.0,2.5,7.340032023619145,1,0.81,2023
247,292,96,3,3.0,3.5,7.057170432404626,0,0.72,2023
248,290,95,2,2.5,3.5,6.915777934021025,0,0.71,2023
249,296,101,3,3.5,4.0,7.174594046801474,1,0.8,2023
250,294,102,3,3.5,4.0,7.137722427792126,1,0.77,2023
251,293,95,3,3.0,2.5,6.958095162908735,1,0.74,2023
252,292,93,2,2.5,3.0,7.315295803984812,0,0.7,2023
253,292,93,2,2.5,3.5,6.943025269674121,1,0.71,2023
254,319,109,4,4.5,4.5,8.816259254510326,1,0.93,2023
255,294,107,4,4.0,5.0,7.477515254905626,0,0.85,2023
256,290,101,4,4.0,4.5,6.874764352071046,0,0.79,2023
257,290,93,3,4.0,4.0,6.95295987936389,0,0.76,2023
258,296,93,3,4.0,5.0,6.997355439939107,1,0.78,2023
259,299,94,4,5.0,5.0,7.079683873862647,1,0.77,2023
260,307,118,4,5.0,4.5,7.873691185478082,1,0.9,2023
261,300,99,5,5.0,3.5,7.492601539206611,1,0.87,2023
262,291,95,3,3.5,4.0,6.810280429088444,0,0.71,2023
263,290,95,2,2.5,4.0,6.871551029147502,1,0.7,2023
264,296,102,3,2.5,1.5,7.103585361473753,1,0.7,2023
265,298,101,2,3.0,2.5,7.079683873862647,1,0.75,2023
266,291,94,3,2.5,2.5,7.022567177590025,0,0.71,2023
267,291,96,2,2.0,2.5,6.903505101453517,0,0.72,2023
268,291,98,3,3.0,3.5,6.823959267421654,1,0.73,2023
269,300,105,4,4.5,5.0,7.5079436700563305,0,0.83,2023
270,290,99,4,4.5,5.0,6.865360554004358,0,0.77,2023
271,290,96,2,2.5,3.0,6.834237647612747,1,0.72,2023
272,290,92,2,1.5,2.0,6.785558054167242,0,0.54,2023
273,290,92,1,1.5,1.5,6.775075497918577,0,0.49,2023
274,291,93,1,1.0,1.5,6.799524419384827,1,0.52,2023
275,291,93,1,2.0,2.5,6.793075764141509,0,0.58,2023
276,295,101,3,3.5,3.0,7.268395443467467,1,0.78,2023
277,303,105,5,5.0,4.5,8.129211766157123,1,0.89,2023
278,293,94,2,2.5,3.0,6.985527103824613,0,0.7,2023
279,290,95,2,3.0,3.5,6.920063246603401,0,0.66,2023
280,290,94,2,3.0,4.0,7.057170432404626,0,0.67,2023
281,290,94,3,4.5,4.0,6.997355439939107,1,0.68,2023
282,292,101,3,4.0,4.5,7.462681612169447,1,0.8,2023
283,291,97,3,4.0,3.5,7.103585361473753,1,0.81,2023
284,294,102,3,2.5,3.0,7.204138720689555,1,0.8,2023
285,340,104,4,5.0,4.5,8.74732712363483,1,0.94,2023
286,307,111,5,4.0,4.0,7.713208863925007,1,0.93,2023
287,322,115,5,4.5,4.0,7.588606082521803,1,0.92,2023
288,296,107,5,5.0,4.5,7.419664883919417,1,0.89,2023
289,291,95,4,5.0,5.0,7.340032023619145,0,0.82,2023
290,291,100,3,4.0,3.5,7.315295803984812,0,0.79,2023
291,290,96,2,2.5,3.0,6.775372057404762,0,0.58,2023
292,290,94,2,1.5,2.0,6.786280295070216,0,0.56,2023
293,290,93,2,1.0,2.0,6.795085582144248,0,0.56,2023
294,291,93,1,3.5,3.0,6.825901676619347,1,0.64,2023
295,292,94,2,2.5,2.0,6.859475264902371,1,0.61,2023
296,292,93,2,3.0,2.5,6.958095162908735,0,0.68,2023
297,290,98,3,3.5,3.5,7.0160647040971655,0,0.76,2023
298,293,120,3,4.0,4.5,7.462681612169447,0,0.86,2023
299,305,107,3,4.5,4.5,7.6761609735000125,1,0.9,2023
300,290,104,3,3.0,3.5,7.003460913804386,0,0.71,2023
301,290,97,2,2.5,2.5,6.79836014128074,0,0.62,2023
302,293,99,2,2.5,3.0,7.079683873862647,0,0.66,2023
303,295,96,2,3.0,3.0,6.903505101453517,1,0.65,2023
304,295,98,3,3.5,3.5,6.9479372007201885,1,0.73,2023
305,291,97,2,2.5,2.0,6.895792407785914,0,0.62,2023
306,294,100,3,3.5,3.5,7.111871821525246,1,0.74,2023
307,295,101,3,4.0,3.5,7.448097432752163,1,0.79,2023
308,298,104,4,4.0,4.0,7.315295803984812,1,0.8,2023
309,291,99,3,3.5,3.0,6.938222249351399,0,0.69,2023
310,290,101,4,3.5,3.0,6.974195524758032,0,0.7,2023
311,293,95,3,3.0,3.5,7.064524500963129,1,0.76,2023
312,302,99,4,4.5,4.0,7.571935700624018,1,0.84,2023
313,290,98,4,4.5,4.5,7.315295803984812,1,0.78,2023
314,290,93,3,3.5,3.0,6.803248120973384,0,0.67,2023
315,290,96,2,3.0,4.0,6.816721181683639,0,0.66,2023
316,290,95,2,2.5,3.0,6.807337771995126,0,0.65,2023
317,290,94,2,1.5,2.0,6.785558054167242,0,0.54,2023
318,290,93,1,1.0,2.5,6.799524419384827,0,0.58,2023
319,296,102,3,2.5,2.0,7.111871821525246,1,0.79,2023
320,300,105,4,3.5,3.0,7.0292061775535535,1,0.8,2023
321,292,97,3,4.0,3.5,6.924448588083471,1,0.75,2023
322,295,95,3,4.0,4.0,6.89960293406223,1,0.73,2023
323,291,98,2,2.5,4.0,6.846023141330265,0,0.72,2023
324,290,94,2,2.0,2.5,6.825901676619347,0,0.62,2023
325,291,95,3,3.0,2.5,6.862380480248276,0,0.67,2023
326,299,111,3,3.5,4.0,7.5079436700563305,1,0.81,2023
327,290,93,3,2.0,2.0,6.8007265637688175,0,0.63,2023
328,290,94,2,2.5,2.0,6.785558054167242,0,0.69,2023
329,296,104,4,4.0,3.5,7.0874937339732815,1,0.8,2023
330,290,92,2,2.5,1.5,6.787805100021702,0,0.43,2023
331,300,105,3,3.5,3.0,7.009696645954694,1,0.8,2023
332,290,96,2,3.0,2.0,6.815038952342137,1,0.73,2023
333,290,97,3,3.5,2.5,6.832066320563951,1,0.75,2023
334,293,99,3,3.0,3.5,6.943025269674121,1,0.71,2023
335,291,98,4,4.5,4.0,7.003460913804386,1,0.73,2023
336,298,102,4,4.0,4.5,7.462681612169447,1,0.83,2023
337,293,101,3,3.0,2.5,7.103585361473753,0,0.72,2023
338,310,115,5,5.0,5.0,8.180363534966885,1,0.94,2023
339,295,99,5,4.0,4.0,7.064524500963129,1,0.81,2023
340,296,98,5,3.5,4.0,7.009696645954694,1,0.81,2023
341,291,98,3,3.0,3.0,6.907500548660829,1,0.75,2023
342,299,101,3,3.5,3.5,7.079683873862647,1,0.79,2023
343,290,97,3,3.0,3.0,6.83876229680302,0,0.58,2023
344,290,95,2,2.5,3.5,6.816721181683639,0,0.59,2023
345,290,92,2,1.5,2.0,6.770620862682081,0,0.47,2023
346,292,93,1,1.5,2.0,6.771286326738501,0,0.49,2023
347,290,92,2,1.5,2.0,6.775075497918577,0,0.47,2023
348,290,92,1,1.0,1.0,6.770620862682081,0,0.42,2023
349,290,93,1,2.0,2.0,6.770264338101037,0,0.57,2023
350,291,94,3,2.5,3.0,6.803248120973384,0,0.62,2023
351,292,98,3,3.0,3.5,6.846023141330265,1,0.74,2023
352,298,101,4,3.5,4.0,7.0160647040971655,1,0.73,2023
353,290,93,2,3.0,3.5,6.805932297819675,1,0.64,2023
354,290,94,3,3.5,2.5,6.823959267421654,0,0.63,2023
355,290,93,2,2.5,3.0,6.776006684707877,0,0.59,2023
356,292,97,2,2.0,3.5,6.815038952342137,0,0.73,2023
357,300,100,3,3.5,4.0,7.0874937339732815,1,0.79,2023
358,290,95,2,3.5,3.5,6.787805100021702,1,0.68,2023
359,291,96,2,2.5,2.0,6.775075497918577,0,0.7,2023
360,294,98,2,2.0,1.5,6.89960293406223,0,0.81,2023
361,295,101,3,4.0,5.0,6.997355439939107,1,0.85,2023
362,315,111,4,4.0,3.5,8.371635624612985,1,0.93,2023
363,330,109,5,4.5,5.0,7.658078141894146,1,0.91,2023
364,290,95,2,2.5,3.0,6.871551029147502,0,0.69,2023
365,291,94,3,3.5,4.0,7.204138720689555,1,0.77,2023
366,305,107,4,4.5,3.0,7.5555375951221455,1,0.86,2023
367,293,95,3,3.5,4.5,6.865360554004358,1,0.74,2023
368,290,93,1,1.0,2.5,6.771604256424479,0,0.57,2023
369,290,92,1,2.0,2.0,6.787029069517822,0,0.51,2023
370,290,93,1,2.0,3.0,6.801967488205503,1,0.67,2023
371,290,95,2,2.5,2.5,6.83876229680302,0,0.72,2023
372,296,101,3,3.5,3.0,7.640284701508356,1,0.89,2023
373,322,118,4,4.5,4.0,8.615027168877516,1,0.95,2023
374,294,100,3,3.0,3.0,6.943025269674121,1,0.79,2023
375,291,96,2,2.0,2.5,6.775372057404762,0,0.39,2023
376,290,94,2,2.0,2.5,6.775682297439233,0,0.38,2023
377,290,92,2,2.5,2.0,6.771286326738501,0,0.34,2023
378,290,93,1,1.5,2.0,6.77314287405219,0,0.47,2023
379,290,93,1,2.0,2.5,6.775372057404762,0,0.56,2023
380,290,93,1,2.5,3.0,6.895792407785914,1,0.71,2023
381,295,95,3,3.5,4.0,7.146677796797838,1,0.78,2023
382,293,96,3,3.0,3.5,7.0160647040971655,1,0.73,2023
383,296,101,4,4.5,4.0,7.523544879286968,1,0.82,2023
384,290,93,3,3.0,3.5,6.843537970278312,0,0.62,2023
385,340,105,4,5.0,5.0,9.034649392327884,1,0.96,2023
386,319,113,5,5.0,5.0,9.354384896601937,1,0.96,2023
387,290,94,2,2.5,3.5,6.794063917610195,0,0.46,2023
388,290,96,2,2.0,3.5,6.811819632171154,0,0.53,2023
389,290,92,2,1.5,2.0,6.781742953139279,0,0.49,2023
390,293,99,3,3.5,4.0,6.89960293406223,1,0.76,2023
391,291,94,2,2.0,2.5,6.83876229680302,0,0.64,2023
392,292,97,3,2.0,3.0,7.003460913804386,0,0.71,2023
393,299,104,4,4.0,3.5,7.477515254905626,1,0.84,2023
394,292,95,2,3.0,3.0,7.079683873862647,0,0.77,2023
395,303,102,4,4.5,4.0,7.658078141894146,1,0.89,2023
396,296,101,3,3.5,3.5,7.365656445385165,1,0.82,2023
397,298,98,3,3.0,3.5,7.462681612169447,1,0.84,2023
398,305,111,4,5.0,4.5,8.129211766157123,1,0.91,2023
399,291,95,3,3.5,4.0,7.095460118230292,0,0.67,2023
400,312,113,4,5.0,4.0,8.74732712363483,1,0.95,2023
401,294,113,1,3.0,2.5,7.315295803984812,1,0.75,2024
402,303,96,3,3.5,4.6,6.7711039492615175,0,0.71,2024
403,300,120,3,4.5,3.6,7.049963776231632,0,0.85,2024
404,290,107,2,4.0,4.1,7.571935700624018,0,0.68,2024
405,310,101,1,3.0,4.0,6.985527103824613,1,0.83,2024
406,292,115,1,3.0,3.5,6.8220711484505445,0,0.72,2024
407,290,97,1,3.9,4.0,7.165111096388401,1,0.72,2024
408,292,104,3,4.9,4.1,6.776699819996202,0,0.88,2024
409,335,93,1,4.4,3.1,6.943025269674121,0,0.72,2024
410,312,118,5,3.4,4.6,7.85251692498344,1,0.96,2024
411,310,101,2,5.0,4.5,8.031353681755425,1,0.82,2024
412,291,107,4,3.6,5.0,6.805932297819675,0,0.88,2024
413,303,96,4,4.5,3.0,7.751456761146375,0,0.64,2024
414,290,113,3,2.4,2.5,8.459697010865598,1,0.69,2024
415,296,92,5,4.0,3.5,6.846023141330265,0,0.76,2024
416,295,92,1,3.5,3.0,6.823959267421654,0,0.79,2024
417,290,97,2,2.6,2.1,7.064524500963129,1,0.56,2024
418,290,105,2,3.4,3.0,6.803248120973384,0,0.5,2024
419,290,109,1,4.5,2.9,6.834237647612747,1,0.63,2024
420,290,95,2,2.1,4.5,7.658078141894146,1,0.44,2024
